Timestamp,Accuracy
12:07:11,38
12:07:11,41
12:07:11,44
12:07:11,33
12:07:11,37
12:07:11,36
12:07:11,37
12:07:11,37
12:07:11,35
12:07:11,33
12:07:11,32
12:07:11,32
12:07:11,31
12:07:11,31
12:07:11,31
12:07:11,31
12:07:12,32
12:07:12,31
12:07:12,31
12:07:12,31
12:07:12,32
12:07:12,31
12:07:12,30
12:07:12,30
12:07:12,30
12:07:12,30
12:07:12,30
12:07:12,30
12:07:12,31
12:07:12,31
12:07:12,31
12:07:12,31
12:07:12,30
12:07:12,30
12:07:12,31
12:07:12,31
12:07:12,31
12:07:13,31
12:07:13,31
12:07:13,32
12:07:13,32
12:07:13,31
12:07:13,31
12:07:13,30
12:07:13,30
12:07:13,30
12:07:13,32
12:07:13,32
12:07:13,33
12:07:13,32
12:07:13,31
12:07:13,31
12:07:13,31
12:07:13,31
12:07:13,31
12:07:13,31
12:07:13,31
12:07:13,31
12:07:13,31
12:07:14,32
12:07:14,33
12:07:14,34
12:07:14,35
12:07:14,35
12:07:14,34
12:07:14,34
12:07:14,32
12:07:14,32
12:07:14,31
12:07:14,31
12:07:14,31
12:07:14,31
12:07:14,31
12:07:14,32
12:07:14,33
12:07:14,34
12:07:14,34
12:07:14,32
12:07:14,32
12:07:14,32
12:07:15,32
12:07:15,31
12:07:15,31
12:07:15,31
12:07:15,31
12:07:15,31
12:07:15,32
12:07:15,31
12:07:15,31
12:07:15,31
12:07:15,31
12:07:15,33
12:07:15,33
12:07:15,33
12:07:15,34
12:07:15,34
12:07:15,35
12:07:15,32
12:07:15,31
12:07:15,31
12:07:15,30
12:07:15,31
12:07:16,31
12:07:16,35
12:07:16,36
12:07:16,35
12:07:16,35
12:07:16,34
12:07:16,35
12:07:16,38
12:07:16,38
12:07:16,39
12:07:16,32
12:07:16,33
12:07:16,40
12:07:16,40
12:07:16,41
12:07:16,41
12:07:16,40
12:07:16,41
12:07:16,41
12:07:16,40
12:07:16,42
12:07:17,47
12:07:17,36
12:07:17,37
12:07:17,37
12:07:17,38
12:07:17,39
12:07:17,41
12:07:17,49
12:07:17,63
12:07:17,68
12:07:17,73
12:07:17,72
12:07:17,72
12:07:17,74
12:07:17,73
12:07:17,74
12:07:17,77
12:07:17,77
12:07:17,75
12:07:17,76
12:07:17,67
12:07:18,69
12:07:18,81
12:07:18,81
12:07:18,74
12:07:18,70
12:07:18,62
12:07:18,57
12:07:18,56
12:07:18,67
12:07:18,74
12:07:18,76
12:07:18,77
12:07:18,85
12:07:18,72
12:07:18,64
12:07:18,68
12:07:18,70
12:07:18,66
12:07:18,82
12:07:18,79
12:07:18,72
12:07:18,81
12:07:19,77
12:07:19,76
12:07:19,75
12:07:19,85
12:07:19,81
12:07:19,80
12:07:19,79
12:07:19,82
12:07:19,83
12:07:19,83
12:07:19,85
12:07:19,82
12:07:19,85
12:07:19,86
12:07:19,85
12:07:19,85
12:07:19,78
12:07:19,78
12:07:19,77
12:07:19,76
12:07:19,81
12:07:19,80
12:07:20,80
12:07:20,71
12:07:20,72
12:07:20,69
12:07:20,79
12:07:20,77
12:07:20,71
12:07:20,69
12:07:20,69
12:07:20,69
12:07:20,78
12:07:20,78
12:07:20,67
12:07:20,70
12:07:20,70
12:07:20,67
12:07:20,70
12:07:20,71
12:07:20,71
12:07:20,74
12:07:20,77
12:07:20,77
12:07:20,75
12:07:20,73
12:07:21,75
12:07:21,74
12:07:21,74
12:07:21,72
12:07:21,83
12:07:21,82
12:07:21,81
12:07:21,77
12:07:21,72
12:07:21,71
12:07:21,71
12:07:21,70
12:07:21,68
12:07:21,67
12:07:21,69
12:07:21,71
12:07:21,75
12:07:21,76
12:07:21,78
12:07:21,79
12:07:21,76
12:07:21,72
12:07:21,73
12:07:21,79
12:07:21,83
12:07:22,83
12:07:22,82
12:07:22,82
